Referencia,Fecha Alta,Tipo_Prop,Tipo_Operación,Provincia,Superficie,Construidos,Precio Venta,Fecha Venta,Vendedor,Supervisor,Dueño Propiedad,Rut Dueño,Celular Dueño,email dueño,Comprador o arrendador,Rut Comp/Arrend.
734,17/09/04,Piso,Venta,Lleida,85,728,644470,22/06/05,María,Luisa,Valentine Nunez,32725710-2,9-669-590-870,non.justo@mauris.com,Sloane Trujillo,27216986-1
735,18/09/04,Oficina,Alquiler,Barcelona,89,567,588023,26/06/05,Joaquín,,Acton Conner,20821352-0,9-149-215-706,Aliquam@ut.net,Nerea Fulton,13634534-6
736,19/09/04,Industrial,Venta,Barcelona,112,556,840560,29/06/05,Pedro,Joaquín,Deborah Mclean,9349395-8,9-126-225-694,magna.sed.dui@portaelita.co.uk,William Roberts,25818024-0
737,19/09/04,Suelo,Alquiler,Lleida,85,448,780980,20/07/05,Joaquín,,Gareth Ford,39218975-0,9-800-201-564,accumsan.convallis.ante@eleifendnuncrisus.edu,Karleigh Phelps,25663400-7
738,19/09/04,Suelo,Alquiler,Lleida,294,579,1201578,31/01/05,Luisa,,Bethany Serrano,21593395-4,9-834-126-702,Suspendisse.commodo@non.com,Isadora Forbes,34733700-5
739,20/09/04,Piso,Venta,Barcelona,250,279,1527750,10/02/05,Luisa,,Kirestin Hernandez,36259321-2,9-663-138-874,tellus.Aenean.egestas@mauris.com,Zahir Parks,45497161-2
740,21/09/04,Parking,Alquiler,Barcelona,254,232,2328418,06/01/05,Joaquín,,Alika Padilla,48479320-4,9-974-328-427,fermentum.fermentum.arcu@pedenec.ca,Raya Woodward,33692967-9
741,21/09/04,Parking,Venta,Tarragona,126,619,1184274,28/07/05,María,Luisa,Wilma Franco,5920551-K,9-212-414-896,sem.vitae.aliquam@estacfacilisis.org,Beverly Sykes,50513566-0
742,22/09/04,Suelo,Venta,Barcelona,218,370,1330236,27/12/04,Pedro,Joaquín,Alfonso Gray,9055024-1,9-836-613-934,Maecenas.malesuada.fringilla@anteNuncmauris.org,Chastity Wise,40351557-4
743,22/09/04,Local,Venta,Lleida,56,406,542864,08/09/05,María,Luisa,Althea Gregory,22857453-8,9-853-691-399,urna.nec@eget.edu,Benedict Wallace,41814923-K
744,22/09/04,Casa,Venta,Barcelona,99,356,538065,19/06/05,Jesús,Luisa,Miranda Wilkerson,24236867-3,9-976-183-332,In.lorem.Donec@tempor.ca,Adria Bowers,7605374-K
745,22/09/04,Suelo,Venta,Lleida,83,382,445295,30/01/05,Pedro,Joaquín,Cailin Kerr,26404680-7,9-432-734-077,ornare.lectus.ante@tincidunt.edu,Chava Peterson,5440902-8
746,22/09/04,Oficina,Alquiler,Tarragona,136,558,761056,11/04/05,Jesús,Luisa,Remedios Craft,31413117-7,9-676-777-762,sociis.natoque.penatibus@rutrumeuultrices.edu,Quamar Meyers,11997683-9
747,22/09/04,Suelo,Alquiler,Barcelona,178,394,1355470,24/12/04,María,Luisa,Reece Grant,33815937-4,9-461-655-762,enim.Suspendisse.aliquet@elitsedconsequat.edu,Geoffrey Morton,41744800-4
748,22/09/04,Industrial,Alquiler,Girona,228,140,2145480,21/06/05,María,Luisa,Alma Mcdaniel,11252710-9,9-631-257-289,Phasellus.nulla@Proinvel.edu,Cadman Oneal,38490062-3
749,23/09/04,Local,Venta,Lleida,114,370,679554,16/09/05,Pedro,Joaquín,Leandra Barr,39275473-3,9-380-758-838,aliquet@odioAliquamvulputate.org,Lionel Freeman,50948370-1
750,23/09/04,Parking,Alquiler,Girona,294,689,1335936,14/07/05,Carmen,Joaquín,Adrienne Monroe,7851849-9,9-410-808-815,eget.odio.Aliquam@Nuncquis.org,Eleanor Tanner,12975222-K
751,23/09/04,Parking,Venta,Girona,132,676,556116,11/09/05,Luisa,,Neil Sanford,45408479-9,9-916-641-823,id.enim@Sedeueros.net,Frances Jefferson,7499222-6
752,25/09/04,Local,Venta,Barcelona,182,419,1509872,05/08/05,Luisa,,Malik Langley,26697291-1,9-251-433-393,luctus.ipsum@Nullam.com,Dustin Hudson,26491390-K
753,25/09/04,Local,Venta,Lleida,67,514,399655,13/08/05,Luisa,,Benjamin Fleming,6425154-6,9-568-677-588,Duis.cursus@Nulla.org,Rebecca Melendez,12004494-K
754,25/09/04,Piso,Alquiler,Tarragona,251,474,1206557,20/05/05,María,Luisa,Quinn Reed,44597085-9,9-740-642-898,iaculis.lacus@liberoDonecconsectetuer.org,Noah Bonner,19705987-7
755,25/09/04,Oficina,Venta,Tarragona,235,292,2202655,16/04/05,Pedro,Joaquín,Doris Knapp,41560239-1,9-739-574-815,mollis.Phasellus@liberoduinec.net,Vladimir Chang,12509475-9
756,26/09/04,Industrial,Alquiler,Tarragona,50,538,308850,10/08/05,Pedro,Joaquín,Emmanuel Oneill,50756547-6,9-534-978-910,risus.Morbi@leo.net,Thor Bonner,42637300-9
757,26/09/04,Industrial,Venta,Barcelona,42,337,306726,16/06/05,Jesús,Luisa,Velma Barnett,38358612-7,9-531-695-301,Suspendisse.aliquet@nisia.org,Cheyenne Rhodes,6383548-K
758,26/09/04,Piso,Venta,Barcelona,272,232,1535168,26/07/05,Luisa,,Ferdinand Bean,16097231-9,9-847-598-127,aliquam.enim@sapiencursus.net,Thomas Talley,36625398-K
759,26/09/04,Piso,Alquiler,Tarragona,117,338,823680,19/01/05,María,Luisa,Kiayada Contreras,16513310-2,9-716-711-314,Duis.ac.arcu@estacfacilisis.ca,Madison Bradford,16495093-K
760,26/09/04,Casa,Alquiler,Barcelona,299,421,1695330,14/07/05,Joaquín,,Ronan Shelton,26031042-9,9-965-573-610,neque.sed.dictum@neque.co.uk,Micah Browning,34434261-K
761,26/09/04,Local,Venta,Girona,50,617,411700,05/01/05,Carmen,Joaquín,Shoshana Henderson,37450523-8,9-494-406-656,orci.lacus@ullamcorper.org,Zeus Fitzpatrick,9136273-2
762,26/09/04,Parking,Venta,Barcelona,48,448,371712,14/08/05,María,Luisa,Lavinia Carey,48727092-K,9-250-144-045,condimentum@pretiumaliquetmetus.net,Martina Russo,30943768-3
763,27/09/04,Piso,Alquiler,Girona,291,393,2411808,28/02/05,Joaquín,,Abraham Clark,45685300-5,9-485-358-737,Mauris.blandit.enim@tinciduntcongue.edu,Tyrone Hancock,31551550-5
764,27/09/04,Oficina,Alquiler,Girona,210,600,1122240,27/08/05,Pedro,Joaquín,Kasper Huffman,44309796-1,9-161-129-932,quam.a@Nullamscelerisque.net,Xyla Craig,28581070-1
765,28/09/04,Local,Alquiler,Girona,291,613,2354481,26/01/05,Carmen,Joaquín,Ursa Dixon,26121992-1,9-903-886-622,ac.sem.ut@ipsum.co.uk,Kennedy Maynard,7102825-9
766,29/09/04,Piso,Alquiler,Girona,204,474,1044480,17/04/05,Jesús,Luisa,Tiger Madden,33027776-9,9-894-510-301,Etiam@idanteNunc.co.uk,Malachi Sampson,35142825-2
767,29/09/04,Piso,Alquiler,Barcelona,95,415,510150,07/05/05,Jesús,Luisa,Chantale Brown,36255474-8,9-893-315-949,Etiam.gravida.molestie@congue.org,Eaton Casey,39179493-6
768,29/09/04,Piso,Venta,Girona,231,298,1213212,24/06/05,Carmen,Joaquín,Libby Fuller,21868744-K,9-839-973-355,Pellentesque.habitant.morbi@dapibus.net,Lara Mack,30800959-9
769,02/10/04,Casa,Venta,Barcelona,159,379,1162131,25/08/05,Pedro,Joaquín,Sylvester Sims,22970321-8,9-548-248-982,magna@facilisismagna.ca,Aaron Williamson,37272406-4
770,04/10/04,Oficina,Venta,Lleida,185,287,1343840,17/04/05,Carmen,Joaquín,Brianna Mitchell,50486904-0,9-507-203-473,nec@ligulaNullamenim.org,Beau Horne,43224899-2
771,04/10/04,Industrial,Venta,Girona,44,249,223564,26/09/05,Luisa,,Fatima Larson,38730274-3,9-995-246-914,velit@egestasnunc.com,Nora Everett,24971601-4
772,04/10/04,Suelo,Venta,Barcelona,277,512,1363948,02/01/05,Jesús,Luisa,Oscar Rogers,50739388-8,9-671-896-388,amet@ligulatortordictum.net,Desiree Dotson,38447629-5
773,04/10/04,Suelo,Venta,Lleida,59,261,484744,27/05/05,Joaquín,,Nadine Schneider,8222917-5,9-401-806-473,Phasellus.fermentum.convallis@utpellentesque.edu,Alyssa Forbes,38536594-2
774,05/10/04,Local,Alquiler,Tarragona,244,513,2332152,05/06/05,Joaquín,,Nasim Joseph,9521899-7,9-582-761-041,vitae.purus@molestieintempus.ca,Colton Paul,32251443-3
775,05/10/04,Local,Venta,Lleida,204,703,1606500,25/07/05,Carmen,Joaquín,Gage Rush,16713814-4,9-300-211-485,Etiam@habitantmorbitristique.com,Felicia Talley,43684813-7
776,05/10/04,Parking,Venta,Lleida,76,330,411160,15/02/05,Joaquín,,Ariana Coleman,20430106-9,9-679-350-853,lacinia.Sed@nibhlacinia.edu,Dahlia Hull,37356014-6
777,05/10/04,Suelo,Alquiler,Tarragona,68,318,611796,18/06/05,Luisa,,Tana Meyer,36847399-5,9-660-596-554,orci.adipiscing.non@eros.net,Ferdinand Thompson,32889780-6
778,06/10/04,Local,Alquiler,Barcelona,228,134,1554732,17/08/05,Jesús,Luisa,Aphrodite Miranda,46653789-6,9-185-358-712,nostra@Fusce.edu,Caldwell Patton,41305133-9
779,06/10/04,Local,Alquiler,Tarragona,256,442,1877760,14/04/05,María,Luisa,Linda Hood,43419336-2,9-549-603-072,arcu.iaculis.enim@ridiculus.net,Haley Combs,19424846-6
780,06/10/04,Local,Venta,Tarragona,185,481,1607280,28/03/05,Carmen,Joaquín,Robert Downs,40845662-2,9-515-851-909,sit.amet.metus@dignissim.com,Kieran Sutton,33742440-6
781,06/10/04,Suelo,Alquiler,Lleida,158,443,1217390,27/04/05,Luisa,,Cleo Morse,13974578-7,9-535-159-500,tincidunt.orci.quis@sociosquad.com,Brielle Workman,15906525-1
782,06/10/04,Suelo,Venta,Girona,74,533,299996,02/09/05,María,Luisa,Jena Gonzalez,35751693-5,9-976-696-219,vulputate@quam.net,Reagan Gallegos,37932445-2
783,06/10/04,Oficina,Alquiler,Girona,219,429,1455693,28/01/05,Joaquín,,Quyn Ellison,30162700-9,9-593-571-174,convallis.est@tempuslorem.com,Cathleen Osborn,37792409-6
784,06/10/04,Parking,Alquiler,Tarragona,83,368,778706,11/09/05,María,Luisa,Stephanie Small,11368079-2,9-673-296-684,elit.Aliquam@disparturientmontes.net,Tamara Shepherd,23664794-3
785,06/10/04,Casa,Alquiler,Barcelona,228,467,1685148,05/10/05,Luisa,,Wallace Cain,18602757-4,9-855-516-612,Mauris.blandit@seddui.net,Matthew Watkins,19622556-0
786,06/10/04,Parking,Venta,Lleida,224,217,913248,03/07/05,Jesús,Luisa,Price Dodson,19428795-K,9-528-657-251,nec.cursus.a@Donec.co.uk,Tanner Bass,35555946-7
787,06/10/04,Casa,Venta,Barcelona,279,682,2064879,07/05/05,María,Luisa,Samuel Alexander,5045680-3,9-586-756-185,Nulla@arcuet.ca,Berk George,37253719-1
788,07/10/04,Casa,Venta,Girona,92,515,853852,25/09/05,Carmen,Joaquín,Penelope Torres,29582921-4,9-382-657-709,porttitor.scelerisque@in.org,Jin Wright,8254617-0
789,07/10/04,Piso,Venta,Barcelona,251,312,1781849,23/07/05,Luisa,,Stacey Hopper,33921945-1,9-659-711-422,commodo@eunequepellentesque.ca,Cadman Watkins,38942796-9
790,07/10/04,Piso,Venta,Tarragona,108,265,647460,10/03/05,Luisa,,Lucius Carrillo,24595902-8,9-866-404-548,vitae@necante.net,Medge Camacho,44676137-4
791,08/10/04,Industrial,Venta,Girona,113,721,869196,28/07/05,Jesús,Luisa,Eagan Mcneil,42593967-K,9-185-338-508,risus.In@tinciduntorci.ca,Uta Neal,43321647-4
792,08/10/04,Piso,Venta,Tarragona,292,424,1565120,02/10/05,Joaquín,,Alfonso Robles,48036165-2,9-982-763-256,non.ante.bibendum@egestasDuis.org,Wesley Fisher,37667820-2
793,08/10/04,Piso,Venta,Lleida,88,478,507320,06/09/05,María,Luisa,Gillian Oneil,49329369-9,9-689-515-549,augue.malesuada@etipsumcursus.com,Mufutau Mcfadden,7217783-5
794,10/10/04,Oficina,Venta,Tarragona,277,280,1522946,09/03/05,Joaquín,,Norman Gilmore,39748108-5,9-431-955-438,ante.ipsum.primis@Nullainterdum.net,Zena Griffin,46094034-6
795,10/10/04,Casa,Alquiler,Tarragona,74,365,338476,19/05/05,Jesús,Luisa,Maya Daniels,48240710-2,9-643-824-874,hendrerit.id@acmattis.edu,Jada Powell,29660991-9
796,10/10/04,Casa,Alquiler,Lleida,110,584,950290,08/06/05,Carmen,Joaquín,Bruno Paul,30923878-8,9-434-307-138,conubia.nostra.per@consequatlectus.com,Claire Hendricks,23192524-4
797,11/10/04,Oficina,Venta,Barcelona,255,225,1442280,04/05/05,Jesús,Luisa,Sara Leonard,35657793-0,9-534-354-371,pede.Praesent.eu@tristique.org,Lacota Preston,30860092-0
798,11/10/04,Piso,Venta,Girona,222,524,1478742,24/09/05,Jesús,Luisa,Brendan Griffith,5919877-7,9-348-909-261,rhoncus.Donec@aliquet.org,Price Booker,18421537-3
799,11/10/04,Suelo,Alquiler,Tarragona,278,130,2209822,27/02/05,Jesús,Luisa,Melvin Blake,40690659-0,9-728-955-563,quis.diam.Pellentesque@scelerisquemollisPhasellus.org,Wynne Lane,32335580-0
800,12/10/04,Local,Alquiler,Tarragona,67,483,653250,19/02/05,María,Luisa,Gregory Gilbert,32390027-2,9-646-722-621,auctor.non@tellusfaucibusleo.co.uk,Mary Shelton,46329612-K
801,13/10/04,Local,Alquiler,Tarragona,159,464,1323198,26/08/05,Jesús,Luisa,Dorian Park,34910155-6,9-490-820-230,Donec@enimnon.net,Felix Melton,42107099-7
802,13/10/04,Suelo,Venta,Lleida,114,393,1106028,27/02/05,María,Luisa,Cecilia Nunez,31402564-4,9-563-784-752,lorem@vulputateeuodio.net,Iliana Burgess,5658726-8
803,13/10/04,Local,Alquiler,Tarragona,163,606,1115409,14/03/05,María,Luisa,Amos Jarvis,7624995-4,9-369-337-239,fames.ac.turpis@imperdietornareIn.co.uk,Aimee Erickson,6009139-0
804,13/10/04,Industrial,Venta,Girona,114,558,580032,28/03/05,Jesús,Luisa,Dakota Peck,7630165-4,9-983-642-683,orci.sem.eget@urnaNullam.ca,Graham Frazier,20752529-4
805,14/10/04,Piso,Alquiler,Barcelona,243,328,1469178,18/02/05,Pedro,Joaquín,Cole Manning,18388860-9,9-142-594-941,pharetra.nibh@utquamvel.net,John Kim,20176072-0
806,14/10/04,Oficina,Venta,Girona,43,205,415552,16/01/05,Luisa,,Ezra Nash,30202939-3,9-992-117-881,Curabitur.vel@sitametfaucibus.edu,Felix Mcdowell,50385413-9
807,15/10/04,Suelo,Alquiler,Tarragona,259,406,1891736,18/07/05,María,Luisa,Freya Paul,35117650-4,9-169-547-526,Lorem@Pellentesquetincidunt.co.uk,Keefe Holt,37426595-4
808,15/10/04,Oficina,Alquiler,Girona,119,487,630224,09/04/05,Joaquín,,Vaughan Downs,26006938-1,9-165-352-045,orci.Ut.sagittis@Duiscursusdiam.co.uk,Emerson Head,21928006-8
809,15/10/04,Casa,Venta,Tarragona,222,705,1292484,01/10/05,Pedro,Joaquín,Myra Cruz,50609370-8,9-252-880-887,orci@laoreet.org,Ursa Hopkins,20145103-5
810,15/10/04,Industrial,Venta,Barcelona,51,141,334305,25/09/05,Carmen,Joaquín,Brady Zamora,20799415-4,9-132-945-226,Aenean@mattisornarelectus.edu,Ocean Maxwell,47740968-7
811,16/10/04,Industrial,Venta,Lleida,214,213,1805518,30/08/05,Carmen,Joaquín,Tatyana King,26839006-5,9-266-980-160,Aliquam@Maurisutquam.co.uk,Ivy Allison,19230543-8
812,16/10/04,Oficina,Venta,Tarragona,236,410,2208252,21/04/05,Pedro,Joaquín,Montana Nolan,40292019-K,9-536-855-116,pellentesque@ametluctusvulputate.com,Dean Graves,39843287-8
813,17/10/04,Casa,Venta,Girona,138,278,733470,04/04/05,Pedro,Joaquín,Damian Blake,29364839-5,9-793-868-725,est.Nunc@aliquamiaculislacus.edu,Rigel Gilmore,39033198-3
814,17/10/04,Oficina,Alquiler,Barcelona,192,346,1627200,27/01/05,Luisa,,Cruz Jefferson,23488298-8,9-783-349-151,Vivamus@arcuiaculis.co.uk,Leo Walsh,30818966-K
815,17/10/04,Industrial,Venta,Tarragona,182,384,1690416,04/09/05,Pedro,Joaquín,Madaline Hines,26789265-2,9-285-539-020,Donec.felis@esttempor.co.uk,Ramona Howard,27251919-6
816,18/10/04,Parking,Alquiler,Barcelona,232,545,2180104,19/07/05,Joaquín,,Kitra Daugherty,6288544-0,9-874-627-451,Sed.diam@sitametrisus.co.uk,Hop Hogan,36761511-7
817,18/10/04,Suelo,Alquiler,Barcelona,158,624,878638,05/05/05,Joaquín,,Aquila Walter,31427201-3,9-770-589-226,ligula@duinec.ca,Lee Estrada,6538779-4
818,18/10/04,Suelo,Alquiler,Tarragona,49,161,244608,21/04/05,Pedro,Joaquín,Faith Fitzpatrick,8685341-8,9-181-836-202,Suspendisse.ac@volutpatNullafacilisis.ca,Richard Mcgowan,20462835-1
819,19/10/04,Parking,Venta,Barcelona,102,241,562632,01/09/05,Luisa,,Quon Padilla,28833190-1,9-780-140-792,orci.luctus@interdum.org,Len Knapp,21531945-8
820,19/10/04,Piso,Alquiler,Tarragona,206,325,1688170,17/07/05,Jesús,Luisa,Hannah Holcomb,32315757-K,9-824-832-297,ullamcorper@nec.net,Brittany Holmes,23479215-6
821,19/10/04,Parking,Venta,Girona,161,211,1392006,12/07/05,María,Luisa,Harlan Dyer,34778545-8,9-686-922-187,scelerisque@ipsumsodales.ca,Shelby Bird,11927085-5
822,20/10/04,Industrial,Venta,Tarragona,259,383,1628333,09/08/05,María,Luisa,Thor Chandler,22377234-K,9-967-350-704,commodo.at@quisdiamPellentesque.ca,Hayden Mercer,43305974-3
823,20/10/04,Parking,Venta,Lleida,177,411,992793,20/03/05,Carmen,Joaquín,Gisela Richards,22240961-6,9-580-947-296,sodales@egetvenenatis.ca,Zoe Jimenez,24334758-0
824,21/10/04,Piso,Alquiler,Girona,60,347,484560,24/08/05,Jesús,Luisa,Phelan Russo,47566662-3,9-157-763-850,libero.lacus@ultricesposuerecubilia.net,Whilemina Mayer,33899677-2
825,21/10/04,Local,Venta,Tarragona,172,386,866880,01/09/05,Luisa,,Nita Buckley,38786497-0,9-778-115-022,ultrices.mauris@In.ca,Wayne Faulkner,28689673-1
826,21/10/04,Oficina,Alquiler,Girona,239,281,1709567,10/06/05,Jesús,Luisa,Curran Oneil,47031568-7,9-997-188-683,pellentesque.eget.dictum@auctor.org,Aiko Craft,38119026-9
827,22/10/04,Industrial,Venta,Tarragona,149,463,1391809,06/08/05,Pedro,Joaquín,Ulric Griffith,36953989-2,9-762-902-844,mauris@ac.edu,Daquan Day,25613096-3
828,23/10/04,Industrial,Alquiler,Barcelona,199,194,1278774,06/04/05,Pedro,Joaquín,Joseph Miranda,40980178-1,9-584-519-755,convallis@elementumategestas.net,Rama Knox,15465119-5
829,23/10/04,Local,Venta,Lleida,152,350,1218888,04/03/05,Joaquín,,Philip Holt,47238492-9,9-803-775-942,Quisque.purus@elit.edu,Meghan Leblanc,38089930-2
830,24/10/04,Local,Venta,Lleida,143,120,1409551,23/04/05,Jesús,Luisa,Jesse Lewis,29988563-1,9-716-987-203,iaculis@eratEtiam.net,Maisie Nielsen,15910746-9
831,24/10/04,Parking,Venta,Girona,115,589,880900,04/07/05,Carmen,Joaquín,Shafira Burris,33791409-8,9-622-258-508,diam.luctus@pellentesqueSed.edu,Keegan Zimmerman,34711148-1
832,24/10/04,Casa,Alquiler,Tarragona,87,488,574200,19/05/05,Carmen,Joaquín,Robin Craig,35789377-1,9-691-879-893,nunc.ullamcorper@egetmagnaSuspendisse.co.uk,Basil Cash,5807928-6
833,24/10/04,Oficina,Alquiler,Lleida,212,518,1968632,23/10/05,Pedro,Joaquín,Jeremy Medina,26286562-2,9-570-807-409,adipiscing@ametultriciessem.net,Alfreda Bryant,17474316-9
834,24/10/04,Casa,Venta,Barcelona,73,398,592103,21/03/05,Jesús,Luisa,Kendall Cherry,48270147-7,9-904-412-610,a@arcu.edu,Scott Harmon,11060354-1
835,25/10/04,Parking,Venta,Lleida,168,502,1276800,25/07/05,Carmen,Joaquín,Miriam Thomas,13760522-8,9-791-828-645,nulla@pellentesque.edu,Fredericka Ayers,35716147-9
836,25/10/04,Suelo,Venta,Tarragona,274,308,2124596,21/02/05,Carmen,Joaquín,Cecilia Nunez,31402564-4,9-563-784-752,lorem@vulputateeuodio.net,Mia Beach,17281633-9
837,27/10/04,Local,Venta,Girona,127,439,1021334,21/05/05,Joaquín,,Jolene Alvarado,22749020-9,9-237-889-203,penatibus@egestasa.edu,Miranda Rollins,30549452-6
838,27/10/04,Piso,Alquiler,Girona,62,728,583110,19/02/05,Joaquín,,Francesca Kemp,47828383-0,9-917-215-080,dolor.dolor@Donec.org,Micah Fox,42323978-6
839,27/10/04,Local,Venta,Lleida,109,192,1029178,13/07/05,Joaquín,,Kamal Holt,33224024-2,9-848-820-067,sapien.Nunc@luctusfelis.edu,Peter Shelton,18225121-6
840,27/10/04,Parking,Alquiler,Girona,114,782,1040478,29/04/05,Carmen,Joaquín,Robert Morgan,27570069-K,9-359-835-018,amet.consectetuer.adipiscing@Aenean.org,Ryan Frost,5025694-4
841,27/10/04,Piso,Venta,Girona,120,423,1061160,13/04/05,Luisa,,Charles Estrada,20035408-7,9-657-601-632,auctor.nunc.nulla@Incondimentum.edu,Nehru Kinney,11300348-0
842,29/10/04,Suelo,Venta,Barcelona,109,382,942196,31/08/05,Joaquín,,Quintessa Patton,41018275-0,9-810-793-049,sit.amet.orci@eratvolutpatNulla.com,Kalia Hayden,23665769-8
843,30/10/04,Casa,Venta,Barcelona,175,367,1712725,12/03/05,Carmen,Joaquín,Marsden Sanders,46184174-0,9-403-538-639,In.mi@velarcu.org,Riley Vinson,12224779-1
844,30/10/04,Local,Alquiler,Tarragona,121,746,593021,28/02/05,Luisa,,Helen Wooten,46405648-3,9-125-250-015,Nam.nulla.magna@interdumSed.com,Hadassah White,30373592-5
845,31/10/04,Industrial,Venta,Tarragona,280,233,1485680,23/10/05,Luisa,,Martin Sweeney,49582317-2,9-167-217-590,non.dapibus@etmalesuada.com,Adam Webb,23796891-3
846,31/10/04,Suelo,Alquiler,Tarragona,246,360,2214984,22/09/05,Joaquín,,Gavin David,20239321-7,9-950-473-863,arcu.vel@lacuspedesagittis.edu,Cooper Bartlett,11221249-3
847,31/10/04,Piso,Alquiler,Girona,121,591,731929,27/06/05,Pedro,Joaquín,Maisie Vincent,13363084-8,9-665-756-531,massa.Vestibulum.accumsan@eleifend.edu,Ava Delacruz,27002197-2
848,31/10/04,Oficina,Alquiler,Tarragona,223,320,1566129,06/04/05,Jesús,Luisa,Selma Banks,25161155-6,9-855-685-514,at@sagittis.org,Scarlet Massey,31466595-3
849,01/11/04,Casa,Venta,Tarragona,120,387,1003320,18/07/05,Carmen,Joaquín,Hu Bentley,18432355-9,9-986-567-232,ante.dictum@tellus.co.uk,Samson Gordon,29172780-8
850,01/11/04,Piso,Alquiler,Girona,159,353,1391091,16/06/05,Carmen,Joaquín,Zoe Head,18035760-2,9-826-431-217,a.neque@nonjusto.org,Cadman Clay,48640797-2
851,01/11/04,Casa,Alquiler,Girona,157,445,1032118,16/06/05,Luisa,,Medge Myers,14206899-0,9-670-977-126,rutrum.Fusce.dolor@augueSedmolestie.org,Freya Branch,5678234-6
852,02/11/04,Casa,Alquiler,Girona,237,707,1768020,27/04/05,Luisa,,Graham Knapp,48816367-1,9-225-847-047,lacus.Quisque.imperdiet@nisiAenean.edu,Hollee Cleveland,24478696-0
853,02/11/04,Piso,Venta,Tarragona,246,698,1708716,16/03/05,Jesús,Luisa,Jillian Meyer,35249680-4,9-991-625-529,Nulla.facilisis.Suspendisse@fringillaornareplacerat.edu,Darius Daniel,43424216-9
854,02/11/04,Piso,Alquiler,Lleida,299,334,2430272,26/03/05,Carmen,Joaquín,Emma Rios,26798613-4,9-844-625-532,arcu.Vestibulum.ante@malesuadaaugue.com,Jakeem Wiley,15845591-9
855,03/11/04,Suelo,Venta,Girona,223,394,1650200,28/08/05,Carmen,Joaquín,Blaine Vinson,6782806-2,9-413-959-918,fames@infaucibusorci.co.uk,Octavia Haynes,20146682-2
856,03/11/04,Industrial,Venta,Barcelona,247,167,995657,29/06/05,Jesús,Luisa,Lionel Hogan,34093232-3,9-261-907-947,neque.sed.dictum@risusNullaeget.edu,Angela Conley,14248032-8
857,03/11/04,Industrial,Venta,Girona,238,463,2379048,08/09/05,María,Luisa,Colton Johnston,13773497-4,9-983-758-277,in.dolor@imperdietullamcorperDuis.org,Heidi Nieves,21010515-8
858,03/11/04,Oficina,Alquiler,Lleida,251,368,1821758,11/06/05,Luisa,,Lane Ortega,44416403-4,9-516-820-306,nec.diam@malesuadavelvenenatis.net,Hakeem Odom,21083817-1
859,03/11/04,Suelo,Venta,Barcelona,65,155,397540,22/05/05,Joaquín,,Bryar Kirk,24766856-K,9-663-325-293,volutpat.ornare@feugiattelluslorem.co.uk,Brenna Cannon,19742801-5
860,03/11/04,Piso,Venta,Lleida,288,226,2242656,11/02/05,Jesús,Luisa,Cynthia Kaufman,50962104-7,9-560-882-618,rutrum@eumetusIn.ca,Indira Wilson,49370205-K
861,03/11/04,Piso,Alquiler,Girona,96,407,891456,28/07/05,Pedro,Joaquín,Ciaran David,30253330-K,9-681-831-476,eu.arcu@ipsumPhasellusvitae.org,Alan Sanchez,42514067-1
862,04/11/04,Local,Alquiler,Barcelona,152,288,631560,28/10/05,Joaquín,,Lacey Bradford,26171540-6,9-833-583-377,laoreet@nibhdolor.net,Astra Kane,27082547-8
863,06/11/04,Oficina,Alquiler,Barcelona,246,230,2328636,10/03/05,Luisa,,Patrick Fulton,12594625-9,9-600-412-538,id.enim@consectetuer.com,Zia Beach,34349011-9
864,06/11/04,Industrial,Venta,Girona,108,303,553608,04/02/05,Luisa,,Calista Banks,40787393-9,9-197-406-876,in@intempuseu.com,Daniel Shepherd,17536525-7
865,06/11/04,Parking,Alquiler,Girona,110,99,523160,11/09/05,Joaquín,,Cassidy Beard,48390885-7,9-117-696-546,nunc@velit.org,Elvis Houston,21899155-6
866,07/11/04,Parking,Venta,Girona,136,351,1054544,18/09/05,María,Luisa,Mark Barlow,14717138-2,9-492-788-841,nec.imperdiet.nec@erateget.edu,Xantha Best,13918539-0
867,07/11/04,Suelo,Venta,Tarragona,82,519,418692,10/09/05,Luisa,,Colorado Weaver,27056121-7,9-542-287-822,commodo@eudoloregestas.co.uk,Amethyst Snider,48867180-4
868,07/11/04,Suelo,Venta,Tarragona,127,240,912114,20/09/05,Joaquín,,Clark Vaughan,10605495-9,9-460-693-254,commodo@adipiscingfringillaporttitor.ca,Dolan Fernandez,45071416-K
869,07/11/04,Parking,Alquiler,Lleida,183,343,1082079,07/09/05,Carmen,Joaquín,Idona Lynch,34404628-K,9-974-970-784,vitae@nisiaodio.ca,Kato Clark,31774702-0
870,08/11/04,Industrial,Venta,Tarragona,245,160,1951180,06/04/05,Luisa,,Wang Montoya,8073138-8,9-971-965-510,egestas@dictumeleifend.org,Destiny Mills,31835486-3
871,08/11/04,Casa,Alquiler,Tarragona,88,400,726352,13/06/05,Joaquín,,Kelsey Buck,42904370-0,9-603-683-823,eros.Nam.consequat@Curabitur.edu,Ori Aguirre,19017977-K
872,09/11/04,Piso,Alquiler,Girona,185,234,1390460,29/08/05,Jesús,Luisa,Palmer Austin,44596376-3,9-966-689-036,fermentum@tellusjustosit.edu,Bianca Neal,10421000-7
